fideid, riskscore, gamecount, oprating 
10200010, 132.0787764495911, 36, 2153.5 
10200037, 133.8485055266581, 83, 2203.89156626506 
10200096, 138.86619165527625, 28, 1847.107142857143 
10200207, 128.23787351570715, 22, 2134.6363636363635 
10200525, 136.98655593754341, 42, 2133.190476190476 
10200622, 133.65170333823517, 31, 2088.0 
10200649, 134.4172689441609, 40, 2096.4 
10200738, 134.45771149930908, 45, 2104.8 
10200916, 134.64596785494672, 48, 2117.6041666666665 
10200975, 133.8725819490964, 33, 2150.3939393939395 
10200983, 137.9775538314342, 31, 2113.7419354838707 
10201114, 137.01995179740473, 39, 2079.846153846154 
10201203, 133.99425026468614, 51, 2170.5686274509803 
10201300, 133.18724178653366, 25, 2107.92 
10201858, 145.08050025881187, 21, 2024.1904761904761 
10201939, 139.99791824149167, 24, 1932.4166666666667 
10201955, 131.89014271878395, 46, 2204.5 
10202021, 137.48590020458747, 20, 1945.2 
10206205, 141.24360865184343, 27, 2084.6296296296296 
1020650, 137.9679577174214, 35, 2268.8571428571427 
10207791, 134.89960739893476, 25, 2300.2 
1021133, 134.6349817315795, 32, 2332.25 
10211772, 133.75908678689737, 29, 2116.896551724138 
10211888, 139.90176386894842, 47, 2105.255319148936 
10214984, 140.3588343912656, 21, 2061.4285714285716 
102164, 126.92181222969619, 24, 2345.875 
1024523, 134.508198004709, 30, 2384.6666666666665 
1025007, 142.10216877564923, 23, 2494.695652173913 
1026356, 131.7464053398081, 46, 2420.717391304348 
1027158, 137.8299423497877, 24, 2135.25 
1028146, 132.3017497391902, 25, 2288.16 
1030108, 134.05145011856507, 163, 2376.0490797546013 
1032283, 134.617581828496, 21, 2352.5714285714284 
103250, 131.3113131693972, 22, 2208.1363636363635 
1032852, 133.58738817265112, 23, 2392.608695652174 
1032860, 130.2416069392605, 25, 2150.96 
1032984, 134.94222532691057, 26, 2290.5384615384614 
1033662, 134.0105399733307, 28, 2195.3571428571427 
1033689, 137.94455123641515, 36, 2211.722222222222 
1033697, 136.34810220671528, 40, 2189.075 
103373, 137.76475986665412, 28, 1971.642857142857 
103411, 137.67403813234267, 40, 2238.075 
103560, 134.43905746750903, 25, 2323.64 
1036432, 133.89058826317418, 96, 2325.875 
1038257, 130.74727687807848, 63, 2375.5873015873017 
1039709, 121.86962233748253, 21, 2238.0476190476193 
1039784, 133.06986200746096, 239, 2566.192468619247 
1039792, 131.3722985579917, 131, 2455.7175572519086 
1040391, 125.67728918065403, 22, 2247.2727272727275 
1040634, 135.21940750231272, 101, 2429.4257425742576 
