fideid, sex, name, rating, country, title, k, birthday, avrisk, gamecount, oprating 
10200622, M, Rahman Md. Taibur, 2171, BAN, FM, 20, 1976, 133.65170333823517, 31, 2088.0 
10200649, M, Hossain Enamul, 2392, BAN, GM, 10, 1981, 134.4172689441609, 40, 2096.4 
10200738, M, Rahman Syed Mahfuzur, 2130, BAN, FM, 20, 1979, 134.45771149930908, 45, 2104.8 
10200916, M, Abu Sufian Shakil, 2229, BAN, IM, 10, 1980, 134.64596785494672, 48, 2117.6041666666665 
10200975, M, Islam Khandaker Aminul, 2153, BAN, FM, 20, 1977, 133.8725819490964, 33, 2150.3939393939395 
10200983, M, Mohammad Javed, 2085, BAN, FM, 20, 1983, 137.9775538314342, 31, 2113.7419354838707 
10201114, M, Chowdhury Sohel, 2004, BAN, CM, 20, 1972, 137.01995179740473, 39, 2079.846153846154 
10201203, M, Mehdi Hasan Parag, 2185, BAN, FM, 20, 1985, 133.99425026468614, 51, 2170.5686274509803 
10201300, M, Mohammed Abdul Malek, 2152, BAN, FM, 20, 1983, 133.18724178653366, 25, 2107.92 
10201858, M, Ghosh Chanchal Kumer, 2055, BAN, CM, 20, 1977, 145.08050025881187, 21, 2024.1904761904761 
10201939, M, Md. Jamal Uddin, 2092, BAN, CM, 20, 1982, 139.99791824149167, 24, 1932.4166666666667 
10201955, M, Mohammad Minhaz Uddin, 2255, BAN, IM, 10, 1989, 131.89014271878395, 46, 2204.5 
10202021, M, Ahmed Mahtabuddin, 2047, BAN, CM, 20, 1987, 137.48590020458747, 20, 1945.2 
10206205, M, Md. Sharif Hossain, 2144, BAN, CM, 20, 1991, 141.24360865184343, 27, 2084.6296296296296 
1020650, M, De Ruiter Danny, 2281, NED, FM, 20, 1991, 137.9679577174214, 35, 2268.8571428571427 
10207791, M, Mohammad Fahad Rahman, 2380, BAN, IM, 10, 2003, 134.89960739893476, 25, 2300.2 
1021133, M, Haast Mark, 2413, NED, IM, 10, 1991, 134.6349817315795, 32, 2332.25 
10211772, M, Md.abzid Rahman, 2043, BAN, NULL, 20, 1987, 133.75908678689737, 29, 2116.896551724138 
10211888, M, Zia Tahsin Tajwar, 2241, BAN, FM, 20, 2005, 139.90176386894842, 47, 2105.255319148936 
10214984, M, Swarnavo Choudhury, 1977, BAN, NULL, 40, 2006, 140.3588343912656, 21, 2061.4285714285716 
102164, M, Del Rey Diego, 2341, ESP, IM, 10, 1972, 126.92181222969619, 24, 2345.875 
1024523, M, Beukema Stefan, 2399, BEL, IM, 10, 1996, 134.508198004709, 30, 2384.6666666666665 
1025007, M, Ducarmon Quinten, 2479, NED, IM, 10, 1994, 142.10216877564923, 23, 2494.695652173913 
1026356, M, Ten Hertog Hugo, 2528, NED, GM, 10, 1994, 131.7464053398081, 46, 2420.717391304348 
1027158, M, Nicolai Amir, 2179, NED, NULL, 20, 1991, 137.8299423497877, 24, 2135.25 
1028146, M, Maris Ivo, 2415, NED, FM, 10, 1995, 132.3017497391902, 25, 2288.16 
1030108, M, Beerdsen Thomas, 2520, NED, IM, 10, 1998, 134.05145011856507, 163, 2376.0490797546013 
1032283, M, Ratsma Midas, 2213, NED, FM, 20, 1995, 134.617581828496, 21, 2352.5714285714284 
103250, M, Pierrot Facundo, 2363, ARG, IM, 10, 1975, 131.3113131693972, 22, 2208.1363636363635 
1032852, M, Lombaers Peter, 2352, NED, FM, 20, 1991, 133.58738817265112, 23, 2392.608695652174 
1032860, M, Mijnster Niels, 2124, NED, NULL, 20, 1991, 130.2416069392605, 25, 2150.96 
1032984, M, Beukema Jasper, 2359, BEL, FM, 10, 2001, 134.94222532691057, 26, 2290.5384615384614 
1033662, F, Ratsma Rosa, 2227, NED, WIM, 20, 1996, 134.0105399733307, 28, 2195.3571428571427 
1033689, F, Kazarian Anna-Maja, 2136, NED, FM, 20, 2000, 137.94455123641515, 36, 2211.722222222222 
1033697, F, Keetman Maaike, 2153, NED, WFM, 20, 1999, 136.34810220671528, 40, 2189.075 
103373, M, Moccero Eduardo, 1870, URU, NULL, 20, 1951, 137.76475986665412, 28, 1971.642857142857 
103411, M, Saldano Dayer Horacio, 2402, ESP, IM, 10, 1973, 137.67403813234267, 40, 2238.075 
103560, M, Dolezal Cristian, 2358, ARG, IM, 10, 1973, 134.43905746750903, 25, 2323.64 
